0.0091193448275862,0.011895846580014045,
DUOT.csv,0.17668073770491802,0.177963541342031,
FTII.csv,0.019476785714285745,0.0815177894499797,
CADL.csv,0.16443839999999998,0.16904713580963152,
DISA.csv,0.09312369942196536,0.3352274433910494,
CCNE.csv,0.3233996000000001,0.2963315859638322,
AMRN.csv,0.057279600000000014,0.05102952188527736,
IROQ.csv,0.2461553191489362,0.3929674973341541,
ERYP.csv,0.04618368145161292,0.05407097250089814,
ADER.csv,0.011606796116504906,0.033541036341492844,
BELFA.csv,0.4651439834024898,0.6934288642439868,
CTHR.csv,0.030080399999999965,0.023931144056229325,
AXON.csv,2.4038668000000007,2.1556395160920947,
AXGN.csv,0.2797860000000001,0.2191178986847035,
GGR.csv,0.2116204,0.3033396763099743,
ALNY.csv,3.4705771999999993,2.989405396957757,
CSWC.csv,0.23599919999999996,0.19234854530086784,
