Days,neighbors,accuracy,pos accuracy,neg accuracy
31,6,0.48858230256898194,0.47452200577200576,0.5908792650918635
32,1,0.5171256144838335,0.48366770478742666,0.5583199571963617
32,2,0.4992809778700967,0.4768058487360346,0.5770807342719658
32,3,0.4896548985346094,0.47392342300982465,0.5904677846425419
32,4,0.48341176005377834,0.47137227117743435,0.5838876570583887
32,5,0.4849948531158445,0.47216174183514775,0.589901925172539
32,6,0.4876800380907035,0.47312120387997464,0.5899395097102833
33,1,0.5134422562217872,0.4799394943456025,0.5551569506726457
33,2,0.49566121485983927,0.47478126608337623,0.5684059530213377
33,3,0.48686563605293487,0.471849374685052,0.5851829634073186
33,4,0.4839925417542746,0.4710688751720769,0.5922619047619048
33,5,0.4840309462408252,0.47110893643521196,0.5906754772393539
33,6,0.49064027661857634,0.4746100834240116,0.6045088566827698
34,1,0.5195059557118874,0.4856266495470433,0.5626875170470043
34,2,0.4970881531711209,0.4750916870415648,0.5764987127620449
34,3,0.4872660812904764,0.4721852786058244,0.5850178359096314
34,4,0.4828461507952247,0.47081763793485487,0.5853474320241692
34,5,0.4825219219934135,0.4701621861808487,0.5856189770200149
34,6,0.48599133648611054,0.4714823721584464,0.588348271446863
35,1,0.5185645051467938,0.48433717784422614,0.562585843787199
35,2,0.49836065573770494,0.47630222947808787,0.5782954335366981
35,3,0.4870653685674548,0.4721065397464647,0.5856970428485214
35,4,0.4845348560551987,0.4714482513442652,0.5930018416206262
35,5,0.48539870475585045,0.4717639168343394,0.594151212553495
35,6,0.48761844095867507,0.47258461819177083,0.590738423028786
36,1,0.5203431274301519,0.4856777311820314,0.5651774223202795
36,2,0.49932005439564836,0.4768575533661741,0.578708741385564
36,3,0.4874413798585168,0.4719868065417564,0.5886588658865887
36,4,0.48428022043373115,0.47054122452604,0.5988888888888889
36,5,0.4849879030658787,0.4709576837416481,0.5989866087585958
36,6,0.48622501791543915,0.4709259934378418,0.591997479521109
37,1,0.5198428605788503,0.48455006065796047,0.5650782036037684
37,2,0.5003401224440799,0.4767172626704399,0.5829733621310296
37,3,0.4901671974522293,0.4731579189899083,0.5981281076338111
37,4,0.48601620848561894,0.47165946836457545,0.6048654625875415
37,5,0.4863179633821836,0.47157922960050047,0.6040699750089253
37,6,0.48818301382966006,0.472170220537875,0.5981191222570533
38,1,0.5225246928450976,0.48666144981148185,0.5689925338740898
38,2,0.49961910107854535,0.4766124046981249,0.5803942846807741
38,3,0.4890810552323265,0.472712161787792,0.5922584400465658
38,4,0.4844767349531523,0.47092477539891836,0.5921847246891652
38,5,0.48601885366532754,0.47159396876682824,0.5985299264963249
38,6,0.4886300167557648,0.47257577144950097,0.597394540942928
39,1,0.5240598787976081,0.4885306441303885,0.5702288667404947
39,2,0.5033634980379594,0.47935414202704785,0.5878415053374344
39,3,0.4892241379310345,0.47302923760177645,0.5909883720930232
39,4,0.4838837884026867,0.47049099763213154,0.591792656587473
39,5,0.4858529985275976,0.4716141502225019,0.5957668285912561
39,6,0.48913390859699585,0.4731925077085922,0.5940054495912807
40,1,0.5193234774224651,0.4832512315270936,0.5673094926043812
40,2,0.501002004008016,0.47680016388405205,0.5881268436578171
40,3,0.4919110615237488,0.4738714595943261,0.6049811757891689
40,4,0.4850989430183581,0.4706251400403316,0.5983865310417398
40,5,0.4874023281773242,0.4717117442543008,0.6057201225740552
40,6,0.4887528017931476,0.47227850432860563,0.5982252141982864
41,1,0.5195665261890428,0.4832488738738739,0.567759409731951
41,2,0.5005009016229213,0.4762815212897892,0.5841513474924148
41,3,0.49216600885061595,0.47353023126219,0.6052409129332206
41,1,0.5195665261890428,0.4832488738738739,0.567759409731951
41,2,0.5005009016229213,0.4762815212897892,0.5841513474924148
41,3,0.49216600885061595,0.47353023126219,0.6052409129332206
41,4,0.4884479261939794,0.47237855116834,0.6100136239782016
41,5,0.4896356533524675,0.4732243900230863,0.6106844741235392
41,6,0.49215937274981997,0.47403801576263327,0.6061843640606768
42,1,0.5232782148017339,0.48646158208108875,0.5713360473723168
42,2,0.5012451799485861,0.476539360872954,0.5853831180322067
